CODIGOFATURA,DATAFATURA,DATAPAGAMENTO,VALOR,CODIGOITEM,QUANTIDADE,SUBTOTAL,PRECOUNITARIO,VENDEDOR,CLIENTE,PRODUTO
6,17/01/2011,18/01/2011,"4784,35",42,1,"749,99","749,99",Maria  Yang,Digister,GeForce GTX 590 Classified
137,06/09/2011,07/09/2011,"947,35",547,1,"200,2","200,2",Aladdin  Blackwell,Mecabox Info,PCI Express 2.0 2DVI
186,10/12/2011,13/12/2011,"1964,58",710,1,39,39,Maria  Yang,Kaify,USB Portable Sound Card / Dac
145,30/09/2011,06/10/2011,"975,84",575,1,"8,99","8,99",Maria  Yang,Truing Tecnologia,Cooler Master Red LED Case Fan
86,08/06/2011,14/06/2011,"779,25",352,1,"61,98","61,98",Emili  Mcdonald,Kaify,ATX Motherboard
72,17/05/2011,19/05/2011,"947,35",302,1,"200,2","200,2",Maria  Yang,Truing Tecnologia,PCI Express 2.0 2DVI
116,24/07/2011,26/07/2011,"1428,13",472,2,"400,4","200,2",Maria  Yang,Digister,PCI Express 2.0 2DVI
30,08/03/2011,14/03/2011,"2676,91",149,2,"400,4","200,2",Maria  Yang,Truing Tecnologia,PCI Express 2.0 2DVI
180,29/11/2011,03/12/2011,"1806,03",689,1,399,399,Emili  Mcdonald,Spoint Sistemas de Informação,i7-2700K 3.5 GHz LGA 1155 Processor
39,25/03/2011,27/03/2011,"647,89",187,1,39,39,Emili  Mcdonald,Roozio Informática,USB Portable Sound Card / Dac
18,14/02/2011,16/02/2011,"774,97",100,1,"61,98","61,98",Aladdin  Blackwell,Truing Tecnologia,ATX Motherboard
111,14/07/2011,20/07/2011,"429,95",447,2,"99,98","49,99",Benedito  Perry,Agilvee,Inch Midtower Case
163,28/10/2011,03/11/2011,"222,96",632,1,"61,98","61,98",Maria  Yang,Kaify,ATX Motherboard
152,11/10/2011,13/10/2011,"493,14",602,3,"149,97","49,99",Maria  Yang,Kaify,Inch Midtower Case
157,24/10/2011,25/10/2011,"3004,67",613,2,"1499,98","749,99",Maria  Yang,Truing Tecnologia,GeForce GTX 590 Classified
136,02/09/2011,03/09/2011,"1313,19",540,2,"17,98","8,99",Maria  Yang,Truing Tecnologia,Cooler Master Red LED Case Fan
174,16/11/2011,19/11/2011,"573,91",667,7,"62,93","8,99",Emili  Mcdonald,Spoint Sistemas de Informação,Cooler Master Red LED Case Fan
112,16/07/2011,19/07/2011,"1833,56",455,2,"99,98","49,99",Maria  Yang,Spoint Sistemas de Informação,Inch Midtower Case
78,30/05/2011,02/06/2011,"1833,56",328,2,"99,98","49,99",José  Gardner,Truing Tecnologia,Inch Midtower Case
69,09/05/2011,11/05/2011,"2519,07",287,7,"5249,93","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
141,20/09/2011,22/09/2011,"1833,56",559,2,"99,98","49,99",Maria  Yang,Kaify,Inch Midtower Case
93,18/06/2011,24/06/2011,"110,04",377,6,"4499,94","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
63,26/04/2011,02/05/2011,"3727,53",264,4,"2999,96","749,99",Benedito  Perry,Kaify,GeForce GTX 590 Classified
167,03/11/2011,06/11/2011,"445,37",643,4,"199,96","49,99",Maria  Yang,Levester Tecnologia,Inch Midtower Case
112,16/07/2011,19/07/2011,"1833,56",453,1,"8,99","8,99",Maria  Yang,Truing Tecnologia,Cooler Master Red LED Case Fan
141,20/09/2011,22/09/2011,"1833,56",557,1,"49,99","49,99",Maria  Yang,Truing Tecnologia,Inch Midtower Case
178,25/11/2011,01/12/2011,"2646,8",684,1,399,399,Maria  Yang,Digister,i7-2700K 3.5 GHz LGA 1155 Processor
78,30/05/2011,02/06/2011,"1833,56",326,1,"49,99","49,99",Maria  Yang,Tadoo,Inch Midtower Case
40,26/03/2011,28/03/2011,"84,99",188,1,"8,99","8,99",José  Gardner,Tadoo,Cooler Master Red LED Case Fan
13,04/02/2011,07/02/2011,"2755,68",70,1,39,39,Maria  Yang,Truing Tecnologia,USB Portable Sound Card / Dac
76,28/05/2011,31/05/2011,"2984,6",317,2,78,39,José  Gardner,Truing Tecnologia,USB Portable Sound Card / Dac
117,24/07/2011,25/07/2011,"794,96",475,1,399,399,Maria  Yang,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
170,05/11/2011,08/11/2011,"2604,61",657,2,"99,98","49,99",Aladdin  Blackwell,Mecabox Info,Inch Midtower Case
144,25/09/2011,28/09/2011,"761,45",568,6,234,39,Maria  Yang,Roozio Informática,USB Portable Sound Card / Dac
20,18/02/2011,19/02/2011,"1664,54",111,6,2394,399,Emili  Mcdonald,Tadoo,i7-2700K 3.5 GHz LGA 1155 Processor
132,30/08/2011,02/09/2011,"-1991,94",525,1,"61,98","61,98",Emili  Mcdonald,Tadoo,ATX Motherboard
61,23/04/2011,26/04/2011,"986,3",258,1,39,39,Emili  Mcdonald,Kaify,USB Portable Sound Card / Dac
93,18/06/2011,24/06/2011,"110,04",376,6,234,39,Maria  Yang,Kaify,USB Portable Sound Card / Dac
117,24/07/2011,25/07/2011,"794,96",474,2,"123,96","61,98",Maria  Yang,Truing Tecnologia,ATX Motherboard
31,13/03/2011,14/03/2011,"298,82",151,2,"99,98","49,99",Emili  Mcdonald,Truing Tecnologia,Inch Midtower Case
7,24/01/2011,27/01/2011,"2581,4",43,1,39,39,Emili  Mcdonald,Spoint Sistemas de Informação,USB Portable Sound Card / Dac
160,27/10/2011,28/10/2011,"524,21",626,3,"149,97","49,99",Emili  Mcdonald,Agilvee,Inch Midtower Case
14,05/02/2011,09/02/2011,"3917,35",77,3,"26,97","8,99",Emili  Mcdonald,Triloo Assistência Técnica,Cooler Master Red LED Case Fan
147,04/10/2011,07/10/2011,"799,91",580,1,399,399,José  Gardner,Levester Tecnologia,i7-2700K 3.5 GHz LGA 1155 Processor
137,06/09/2011,07/09/2011,"947,35",543,3,1197,399,José  Gardner,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
124,05/08/2011,08/08/2011,"1681,68",498,3,"600,6","200,2",José  Gardner,Kaify,PCI Express 2.0 2DVI
88,12/06/2011,15/06/2011,"898,44",354,4,"247,92","61,98",Maria  Yang,Kaify,ATX Motherboard
86,08/06/2011,14/06/2011,"779,25",348,3,"600,6","200,2",Emili  Mcdonald,Truing Tecnologia,PCI Express 2.0 2DVI
72,17/05/2011,19/05/2011,"947,35",298,3,117,39,Aladdin  Blackwell,Truing Tecnologia,USB Portable Sound Card / Dac
75,25/05/2011,26/05/2011,"11342,3",309,4,"199,96","49,99",Benedito  Perry,Tadoo,Inch Midtower Case
52,07/04/2011,13/04/2011,"11342,3",225,4,1596,399,Emili  Mcdonald,Mecabox Info,i7-2700K 3.5 GHz LGA 1155 Processor
177,23/11/2011,26/11/2011,"1380,78",679,18,7182,399,José  Gardner,Agilvee,i7-2700K 3.5 GHz LGA 1155 Processor
67,05/05/2011,09/05/2011,"1254,71",280,18,"899,82","49,99",Maria  Yang,Kaify,Inch Midtower Case
93,18/06/2011,24/06/2011,"110,04",378,6,"299,94","49,99",Emili  Mcdonald,Kaify,Inch Midtower Case
41,27/03/2011,29/03/2011,"747,47",190,2,798,399,Emili  Mcdonald,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
1,06/01/2011,07/01/2011,"5141,67",3,15,3003,"200,2",Benedito  Perry,Kaify,PCI Express 2.0 2DVI
46,02/04/2011,05/04/2011,"5141,67",210,15,585,39,José  Gardner,Truing Tecnologia,USB Portable Sound Card / Dac
155,23/10/2011,24/10/2011,"463,21",609,5,"44,95","8,99",Maria  Yang,Truing Tecnologia,Cooler Master Red LED Case Fan
81,02/06/2011,04/06/2011,"463,21",333,5,1001,"200,2",José  Gardner,Triloo Assistência Técnica,PCI Express 2.0 2DVI
96,23/06/2011,27/06/2011,"2662,46",385,1,"200,2","200,2",Maria  Yang,Spoint Sistemas de Informação,PCI Express 2.0 2DVI
134,01/09/2011,04/09/2011,"3584,46",531,1,39,39,Emili  Mcdonald,Tadoo,USB Portable Sound Card / Dac
142,21/09/2011,22/09/2011,"2151,09",563,1,"49,99","49,99",José  Gardner,Digister,Inch Midtower Case
28,03/03/2011,06/03/2011,"318,67",142,1,"61,98","61,98",Emili  Mcdonald,Mecabox Info,ATX Motherboard
168,03/11/2011,05/11/2011,"3830,29",653,3,117,39,Emili  Mcdonald,Truing Tecnologia,USB Portable Sound Card / Dac
30,08/03/2011,14/03/2011,"2676,91",147,3,117,39,Aladdin  Blackwell,Kaify,USB Portable Sound Card / Dac
46,02/04/2011,05/04/2011,"5141,67",211,2,"17,98","8,99",José  Gardner,Kaify,Cooler Master Red LED Case Fan
1,06/01/2011,07/01/2011,"5141,67",4,2,78,39,Maria  Yang,Kaify,USB Portable Sound Card / Dac
138,14/09/2011,20/09/2011,"1897,76",548,2,78,39,Maria  Yang,Truing Tecnologia,USB Portable Sound Card / Dac
80,01/06/2011,02/06/2011,"1981,46",331,2,78,39,Emili  Mcdonald,Truing Tecnologia,USB Portable Sound Card / Dac
32,14/03/2011,16/03/2011,"1005,44",153,1,399,399,Benedito  Perry,Truing Tecnologia,i7-2700K 3.5 GHz LGA 1155 Processor
139,18/09/2011,19/09/2011,"2753,41",551,1,39,39,Emili  Mcdonald,Kaify,USB Portable Sound Card / Dac
180,29/11/2011,03/12/2011,"1806,03",690,4,156,39,Emili  Mcdonald,Kaify,USB Portable Sound Card / Dac
73,21/05/2011,23/05/2011,"2748,85",305,4,1596,399,Emili  Mcdonald,Agilvee,i7-2700K 3.5 GHz LGA 1155 Processor
142,21/09/2011,22/09/2011,"2151,09",562,2,"1499,98","749,99",Maria  Yang,Agilvee,GeForce GTX 590 Classified
134,01/09/2011,04/09/2011,"3584,46",530,2,"123,96","61,98",José  Gardner,Spoint Sistemas de Informação,ATX Motherboard
75,25/05/2011,26/05/2011,"11342,3",310,3,"149,97","49,99",Maria  Yang,Digister,Inch Midtower Case
3,15/01/2011,18/01/2011,14228,18,2,78,39,Maria  Yang,Kaify,USB Portable Sound Card / Dac
52,07/04/2011,13/04/2011,"11342,3",226,3,"185,94","61,98",José  Gardner,Truing Tecnologia,ATX Motherboard
147,04/10/2011,07/10/2011,"799,91",581,2,"123,96","61,98",José  Gardner,Kaify,ATX Motherboard
30,08/03/2011,14/03/2011,"2676,91",145,4,"35,96","8,99",Aladdin  Blackwell,Kaify,Cooler Master Red LED Case Fan
168,03/11/2011,05/11/2011,"3830,29",651,4,"199,96","49,99",José  Gardner,Kaify,Inch Midtower Case
7,24/01/2011,27/01/2011,"2581,4",44,2,78,39,Emili  Mcdonald,Kaify,USB Portable Sound Card / Dac
96,23/06/2011,27/06/2011,"2662,46",386,3,"185,94","61,98",Maria  Yang,Kaify,ATX Motherboard
19,17/02/2011,23/02/2011,"930,47",107,1,"749,99","749,99",Emili  Mcdonald,Truing Tecnologia,GeForce GTX 590 Classified
126,09/08/2011,10/08/2011,"1172,03",505,2,"123,96","61,98",Emili  Mcdonald,Truing Tecnologia,ATX Motherboard
36,16/03/2011,17/03/2011,"2472,45",171,2,798,399,Emili  Mcdonald,Roozio Informática,i7-2700K 3.5 GHz LGA 1155 Processor
117,24/07/2011,25/07/2011,"794,96",476,1,"8,99","8,99",Maria  Yang,Digister,Cooler Master Red LED Case Fan
13,04/02/2011,07/02/2011,"2755,68",71,2,"123,96","61,98",José  Gardner,Agilvee,ATX Motherboard
15,07/02/2011,11/02/2011,"2472,45",87,2,798,399,Emili  Mcdonald,Triloo Assistência Técnica,i7-2700K 3.5 GHz LGA 1155 Processor
41,27/03/2011,29/03/2011,"747,47",189,1,"8,99","8,99",Emili  Mcdonald,Tadoo,Cooler Master Red LED Case Fan
99,29/06/2011,01/07/2011,"2472,45",400,2,798,399,Aladdin  Blackwell,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
170,05/11/2011,08/11/2011,"2604,61",658,9,"557,82","61,98",Emili  Mcdonald,Kaify,ATX Motherboard
76,28/05/2011,31/05/2011,"2984,6",318,9,3591,399,Emili  Mcdonald,Truing Tecnologia,i7-2700K 3.5 GHz LGA 1155 Processor
24,26/02/2011,27/02/2011,"2352,58",126,7,"1401,4","200,2",Maria  Yang,Truing Tecnologia,PCI Express 2.0 2DVI
66,04/05/2011,05/05/2011,"748,43",274,2,"99,98","49,99",Maria  Yang,Digister,Inch Midtower Case
150,07/10/2011,09/10/2011,"2363,57",591,2,"1499,98","749,99",Aladdin  Blackwell,Kaify,GeForce GTX 590 Classified
88,12/06/2011,15/06/2011,"898,44",358,1,"8,99","8,99",José  Gardner,Digister,Cooler Master Red LED Case Fan
9,29/01/2011,31/01/2011,"253,26",53,5,"44,95","8,99",José  Gardner,Kaify,Cooler Master Red LED Case Fan
148,04/10/2011,10/10/2011,"2147,47",582,1,"49,99","49,99",Maria  Yang,Kaify,Inch Midtower Case
150,07/10/2011,09/10/2011,"2363,57",593,5,1995,399,Maria  Yang,Triloo Assistência Técnica,i7-2700K 3.5 GHz LGA 1155 Processor
7,24/01/2011,27/01/2011,"2581,4",45,1,"49,99","49,99",José  Gardner,Truing Tecnologia,Inch Midtower Case
19,17/02/2011,23/02/2011,"930,47",109,2,"123,96","61,98",Maria  Yang,Kaify,ATX Motherboard
91,15/06/2011,18/06/2011,"3135,46",372,2,"1499,98","749,99",Emili  Mcdonald,Roozio Informática,GeForce GTX 590 Classified
34,15/03/2011,18/03/2011,"574,92",161,2,"123,96","61,98",Benedito  Perry,Digister,ATX Motherboard
58,15/04/2011,16/04/2011,"1965,82",250,6,"299,94","49,99",José  Gardner,Truing Tecnologia,Inch Midtower Case
109,13/07/2011,16/07/2011,"3586,51",441,1,"8,99","8,99",Emili  Mcdonald,Truing Tecnologia,Cooler Master Red LED Case Fan
27,03/03/2011,05/03/2011,"657,93",138,1,"49,99","49,99",José  Gardner,Kaify,Inch Midtower Case
158,25/10/2011,27/10/2011,"775,93",619,1,"749,99","749,99",Maria  Yang,Agilvee,GeForce GTX 590 Classified
169,04/11/2011,07/11/2011,"409,83",654,2,"1499,98","749,99",José  Gardner,Digister,GeForce GTX 590 Classified
30,08/03/2011,14/03/2011,"2676,91",148,2,"400,4","200,2",Emili  Mcdonald,Roozio Informática,PCI Express 2.0 2DVI
36,16/03/2011,17/03/2011,"2472,45",170,1,"61,98","61,98",Maria  Yang,Levester Tecnologia,ATX Motherboard
119,28/07/2011,29/07/2011,"347,14",478,1,"200,2","200,2",Maria  Yang,Kaify,PCI Express 2.0 2DVI
41,27/03/2011,29/03/2011,"747,47",192,1,"749,99","749,99",Maria  Yang,Kaify,GeForce GTX 590 Classified
4,16/01/2011,19/01/2011,"1478,64",28,1,"49,99","49,99",José  Gardner,Kaify,Inch Midtower Case
15,07/02/2011,11/02/2011,"2472,45",86,1,"200,2","200,2",Emili  Mcdonald,Truing Tecnologia,PCI Express 2.0 2DVI
99,29/06/2011,01/07/2011,"2472,45",399,1,"200,2","200,2",Maria  Yang,Truing Tecnologia,PCI Express 2.0 2DVI
104,06/07/2011,10/07/2011,"1784,97",420,1,39,39,Maria  Yang,Kaify,USB Portable Sound Card / Dac
136,02/09/2011,03/09/2011,"1313,19",542,5,1001,"200,2",Aladdin  Blackwell,Roozio Informática,PCI Express 2.0 2DVI
80,01/06/2011,02/06/2011,"1981,46",330,5,"3749,95","749,99",Maria  Yang,Triloo Assistência Técnica,GeForce GTX 590 Classified
71,13/05/2011,19/05/2011,"1044,58",296,2,"17,98","8,99",Maria  Yang,Digister,Cooler Master Red LED Case Fan
152,11/10/2011,13/10/2011,"493,14",601,3,"600,6","200,2",José  Gardner,Kaify,PCI Express 2.0 2DVI
14,05/02/2011,09/02/2011,"3917,35",76,5,195,39,José  Gardner,Truing Tecnologia,USB Portable Sound Card / Dac
160,27/10/2011,28/10/2011,"524,21",625,5,195,39,José  Gardner,Digister,USB Portable Sound Card / Dac
57,11/04/2011,15/04/2011,"472,94",246,3,117,39,Emili  Mcdonald,Kaify,USB Portable Sound Card / Dac
35,16/03/2011,17/03/2011,"339,32",164,20,780,39,Benedito  Perry,Truing Tecnologia,USB Portable Sound Card / Dac
116,24/07/2011,26/07/2011,"1428,13",469,20,"179,8","8,99",Maria  Yang,Roozio Informática,Cooler Master Red LED Case Fan
154,23/10/2011,24/10/2011,"149,85",607,15,"749,85","49,99",Benedito  Perry,Truing Tecnologia,Inch Midtower Case
24,26/02/2011,27/02/2011,"2352,58",124,15,"929,7","61,98",Maria  Yang,Truing Tecnologia,ATX Motherboard
112,16/07/2011,19/07/2011,"1833,56",451,19,7581,399,José  Gardner,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
9,29/01/2011,31/01/2011,"253,26",52,21,"15749,79","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
141,20/09/2011,22/09/2011,"1833,56",555,19,"14249,81","749,99",Maria  Yang,Kaify,GeForce GTX 590 Classified
178,25/11/2011,01/12/2011,"2646,8",682,19,741,39,Emili  Mcdonald,Truing Tecnologia,USB Portable Sound Card / Dac
78,30/05/2011,02/06/2011,"1833,56",324,19,"949,81","49,99",Emili  Mcdonald,Mecabox Info,Inch Midtower Case
69,09/05/2011,11/05/2011,"2519,07",284,10,"499,9","49,99",José  Gardner,Levester Tecnologia,Inch Midtower Case
136,02/09/2011,03/09/2011,"1313,19",539,21,"15749,79","749,99",Maria  Yang,Tadoo,GeForce GTX 590 Classified
181,30/11/2011,03/12/2011,"1938,09",694,10,"499,9","49,99",Aladdin  Blackwell,Truing Tecnologia,Inch Midtower Case
37,16/03/2011,19/03/2011,"462,71",178,5,195,39,Maria  Yang,Kaify,USB Portable Sound Card / Dac
122,03/08/2011,06/08/2011,"2594,5",492,5,195,39,Maria  Yang,Kaify,USB Portable Sound Card / Dac
26,01/03/2011,03/03/2011,"2399,8",136,2,"1499,98","749,99",Maria  Yang,Kaify,GeForce GTX 590 Classified
167,03/11/2011,06/11/2011,"445,37",645,2,"17,98","8,99",Maria  Yang,Kaify,Cooler Master Red LED Case Fan
105,08/07/2011,09/07/2011,"3850,79",428,1,"49,99","49,99",José  Gardner,Truing Tecnologia,Inch Midtower Case
106,08/07/2011,12/07/2011,"3850,79",434,1,"49,99","49,99",Benedito  Perry,Truing Tecnologia,Inch Midtower Case
114,21/07/2011,25/07/2011,"1096,95",463,3,"149,97","49,99",Maria  Yang,Triloo Assistência Técnica,Inch Midtower Case
3,15/01/2011,18/01/2011,14228,19,2,"400,4","200,2",Emili  Mcdonald,Kaify,PCI Express 2.0 2DVI
183,04/12/2011,07/12/2011,"277,98",701,2,78,39,Maria  Yang,Kaify,USB Portable Sound Card / Dac
24,26/02/2011,27/02/2011,"2352,58",125,3,1197,399,Maria  Yang,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
186,10/12/2011,13/12/2011,"1964,58",709,1,399,399,Maria  Yang,Spoint Sistemas de Informação,i7-2700K 3.5 GHz LGA 1155 Processor
48,04/04/2011,05/04/2011,"729,61",216,1,"49,99","49,99",Maria  Yang,Kaify,Inch Midtower Case
181,30/11/2011,03/12/2011,"1938,09",695,1,"49,99","49,99",Maria  Yang,Mecabox Info,Inch Midtower Case
69,09/05/2011,11/05/2011,"2519,07",285,1,"200,2","200,2",Emili  Mcdonald,Roozio Informática,PCI Express 2.0 2DVI
