|cd_ugestora|de_ugestora|dt_ano|cd_receitaorcug|de_receitaorcug|tp_atualizacaoreceita|de_atualizacaoreceita|vl_lancamentoOrc|dt_mesano
489826|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|1330184.21|2007-03-01
489827|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|1464763.0|2007-04-01
489828|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|1294022.6|2007-05-01
489829|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|1289451.23|2007-06-01
489830|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|1292794.2|2007-07-01
489831|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|1570754.35|2007-08-01
489832|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|1302101.15|2007-09-01
489833|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|2103956.27|2007-10-01
489834|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|1521383.9|2007-11-01
489835|201095|Prefeitura Municipal de João Pessoa|2007|11120800|"IMPOSTO SOBRE TRANSMISSAO -""INTER VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOB"|1|Lançamento de receita|1488326.12|2007-12-01
489836|201095|Prefeitura Municipal de João Pessoa|2007|11130500|IMPOSTOS SOBRE SERVICOS DE QUALQUER NATUREZA|1|Lançamento de receita|5918724.33|2007-01-01
489837|201095|Prefeitura Municipal de João Pessoa|2007|11130500|IMPOSTOS SOBRE SERVICOS DE QUALQUER NATUREZA|1|Lançamento de receita|5565932.87|2007-02-01
489838|201095|Prefeitura Municipal de João Pessoa|2007|11130500|IMPOSTOS SOBRE SERVICOS DE QUALQUER NATUREZA|1|Lançamento de receita|5266085.79|2007-03-01
489839|201095|Prefeitura Municipal de João Pessoa|2007|11130500|IMPOSTOS SOBRE SERVICOS DE QUALQUER NATUREZA|1|Lançamento de receita|5482329.16|2007-04-01
489840|201095|Prefeitura Municipal de João Pessoa|2007|11130500|IMPOSTOS SOBRE SERVICOS DE QUALQUER NATUREZA|1|Lançamento de receita|6099777.04|2007-05-01
489841|201095|Prefeitura Municipal de João Pessoa|2007|11130500|IMPOSTOS SOBRE SERVICOS DE QUALQUER NATUREZA|1|Lançamento de receita|5661594.68|2007-06-01
489842|201095|Prefeitura Municipal de João Pessoa|2007|11130500|IMPOSTOS SOBRE SERVICOS DE QUALQUER NATUREZA|1|Lançamento de receita|6411352.62|2007-07-01
489843|201095|Prefeitura Municipal de João Pessoa|2007|11130500|IMPOSTOS SOBRE SERVICOS DE QUALQUER NATUREZA|1|Lançamento de receita|6409345.69|2007-08-01
489844|201095|Prefeitura Municipal de João Pessoa|2007|11130500|IMPOSTOS SOBRE SERVICOS DE QUALQUER NATUREZA|1|Lançamento de receita|5932499.19|2007-09-01
489845|201095|Prefeitura Municipal de João Pessoa|2007|11130500|IMPOSTOS SOBRE SERVICOS DE QUALQUER NATUREZA|1|Lançamento de receita|6298150.14|2007-10-01
490411|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|13170229.38|2007-01-01
490412|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|14149298.06|2007-02-01
490413|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|11737197.24|2007-03-01
490414|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|14577314.52|2007-04-01
490415|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|15045474.64|2007-05-01
490416|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|15370038.42|2007-06-01
490417|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|14025620.74|2007-07-01
490418|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|12612425.98|2007-08-01
490419|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|12985694.5|2007-09-01
490420|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|12290249.11|2007-10-01
490421|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|16373692.02|2007-11-01
490422|201095|Prefeitura Municipal de João Pessoa|2007|17210102|Cota Parte do FPM|1|Lançamento de receita|21276580.22|2007-12-01
490423|201095|Prefeitura Municipal de João Pessoa|2007|17210105|COTA-PARTE DO ITR|1|Lançamento de receita|649.18|2007-01-01
490424|201095|Prefeitura Municipal de João Pessoa|2007|17210105|COTA-PARTE DO ITR|1|Lançamento de receita|84.84|2007-02-01
490425|201095|Prefeitura Municipal de João Pessoa|2007|17210105|COTA-PARTE DO ITR|1|Lançamento de receita|509.82|2007-03-01
490426|201095|Prefeitura Municipal de João Pessoa|2007|17210105|COTA-PARTE DO ITR|1|Lançamento de receita|39.27|2007-04-01
490427|201095|Prefeitura Municipal de João Pessoa|2007|17210105|COTA-PARTE DO ITR|1|Lançamento de receita|663.81|2007-05-01
490428|201095|Prefeitura Municipal de João Pessoa|2007|17210105|COTA-PARTE DO ITR|1|Lançamento de receita|138.4|2007-06-01
490429|201095|Prefeitura Municipal de João Pessoa|2007|17210105|COTA-PARTE DO ITR|1|Lançamento de receita|261.78|2007-07-01
490430|201095|Prefeitura Municipal de João Pessoa|2007|17210105|COTA-PARTE DO ITR|1|Lançamento de receita|277.5|2007-08-01
490431|201095|Prefeitura Municipal de João Pessoa|2007|17210105|COTA-PARTE DO ITR|1|Lançamento de receita|18.46|2007-09-01
490432|201095|Prefeitura Municipal de João Pessoa|2007|17210105|COTA-PARTE DO ITR|1|Lançamento de receita|9213.16|2007-10-01
490433|201095|Prefeitura Municipal de João Pessoa|2007|17210105|COTA-PARTE DO ITR|1|Lançamento de receita|526.86|2007-11-01
490434|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|147259.64|2007-01-01
490435|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|158194.29|2007-02-01
490436|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|136974.47|2007-03-01
490437|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|126505.28|2007-04-01
490438|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|148787.59|2007-05-01
490439|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|149979.3|2007-06-01
490440|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|149785.35|2007-07-01
490441|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|153962.06|2007-08-01
490721|201095|Prefeitura Municipal de João Pessoa|2008|17220101|COTA - PARTE  DO  ICMS|1|Lançamento de receita|13452276.29|2008-01-01
490722|201095|Prefeitura Municipal de João Pessoa|2008|17220101|COTA - PARTE  DO  ICMS|1|Lançamento de receita|10900167.1|2008-02-01
490723|201095|Prefeitura Municipal de João Pessoa|2008|17220101|COTA - PARTE  DO  ICMS|1|Lançamento de receita|8729258.12|2008-03-01
490724|201095|Prefeitura Municipal de João Pessoa|2008|17220101|COTA - PARTE  DO  ICMS|1|Lançamento de receita|12763195.09|2008-04-01
490725|201095|Prefeitura Municipal de João Pessoa|2008|17220101|COTA - PARTE  DO  ICMS|1|Lançamento de receita|10960030.85|2008-05-01
490726|201095|Prefeitura Municipal de João Pessoa|2008|17220101|COTA - PARTE  DO  ICMS|1|Lançamento de receita|9367168.19|2008-06-01
490727|201095|Prefeitura Municipal de João Pessoa|2008|17220101|COTA - PARTE  DO  ICMS|1|Lançamento de receita|13524429.52|2008-07-01
490807|201095|Prefeitura Municipal de João Pessoa|2008|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|30940.86|2008-01-01
490808|201095|Prefeitura Municipal de João Pessoa|2008|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|47852.02|2008-02-01
490809|201095|Prefeitura Municipal de João Pessoa|2008|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|35417.47|2008-03-01
490890|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|29656.01|2007-01-01
490891|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|27395.87|2007-02-01
490892|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|30231.7|2007-03-01
490893|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|34477.98|2007-04-01
490894|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|40384.31|2007-05-01
490895|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|31772.48|2007-06-01
490896|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|34555.28|2007-07-01
490897|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|44338.89|2007-08-01
490898|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|36719.45|2007-09-01
490899|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|40366.46|2007-10-01
490900|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|35583.09|2007-11-01
490901|201095|Prefeitura Municipal de João Pessoa|2007|11212500|TAXA PELA RENOVACAO DE LICENCA|1|Lançamento de receita|43004.63|2007-12-01
490902|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|65289.01|2007-01-01
490903|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|40678.49|2007-02-01
490904|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|43610.87|2007-03-01
490905|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|63407.28|2007-04-01
490906|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|57105.3|2007-05-01
490907|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|49357.16|2007-06-01
490908|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|71371.71|2007-07-01
490909|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|72264.05|2007-08-01
490910|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|47421.35|2007-09-01
490911|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|82397.19|2007-10-01
490912|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|65817.53|2007-11-01
490913|201095|Prefeitura Municipal de João Pessoa|2007|11219900|TAXA PELO EXERCICIO DE LOTEAMENTO E ARRUAMENTO|1|Lançamento de receita|52068.28|2007-12-01
490914|201095|Prefeitura Municipal de João Pessoa|2007|12202900|CONTRIBUIÇÃO PARA O CUSTEIO DA ILUMINAÇÃO PÚBLICA - COSIP|1|Lançamento de receita|1081957.69|2007-01-01
490915|201095|Prefeitura Municipal de João Pessoa|2007|12202900|CONTRIBUIÇÃO PARA O CUSTEIO DA ILUMINAÇÃO PÚBLICA - COSIP|1|Lançamento de receita|1004269.3|2007-02-01
491051|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|172612.83|2007-09-01
491052|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|168538.45|2007-10-01
491053|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|165321.03|2007-11-01
491054|201095|Prefeitura Municipal de João Pessoa|2007|17222230|COTA - PARTE DO FUNDO ESPECIAL FE-PETROBRAS|1|Lançamento de receita|175010.84|2007-12-01
491055|201095|Prefeitura Municipal de João Pessoa|2007|19113500|MULTAS E JUROS DE MORA DA TAXA DE FISCALIZAÇÃO E VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|1173.56|2007-01-01
491326|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|1219.47|2007-01-01
491327|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|984.36|2007-02-01
491328|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|2901.79|2007-03-01
491329|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|3854.43|2007-04-01
491330|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|1513.92|2007-05-01
491331|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|661.51|2007-06-01
491332|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|1431.59|2007-07-01
491333|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|1076.86|2007-08-01
491334|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|1429.4|2007-09-01
491335|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|795.94|2007-10-01
491336|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|680.0|2007-11-01
491337|201095|Prefeitura Municipal de João Pessoa|2007|11211700|TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA|1|Lançamento de receita|65.21|2007-12-01
491338|201095|Prefeitura Municipal de João Pessoa|2007|11212900|TAXAS PELO EXERCICIO DE OBRAS PARTICULARES|1|Lançamento de receita|14482.58|2007-01-01
491339|201095|Prefeitura Municipal de João Pessoa|2007|11212900|TAXAS PELO EXERCICIO DE OBRAS PARTICULARES|1|Lançamento de receita|16710.67|2007-02-01
491340|201095|Prefeitura Municipal de João Pessoa|2007|11212900|TAXAS PELO EXERCICIO DE OBRAS PARTICULARES|1|Lançamento de receita|18231.41|2007-03-01
491341|201095|Prefeitura Municipal de João Pessoa|2007|11212900|TAXAS PELO EXERCICIO DE OBRAS PARTICULARES|1|Lançamento de receita|18286.26|2007-04-01
491346|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|774484.05|2007-01-01
491347|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|793976.31|2007-02-01
491348|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|618903.54|2007-03-01
491349|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|714420.62|2007-04-01
491350|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|663743.55|2007-05-01
491351|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|679725.6|2007-06-01
491352|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|738546.62|2007-07-01
491353|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|692865.15|2007-08-01
491354|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|564919.85|2007-09-01
491355|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|1379544.43|2007-10-01
491356|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|659379.48|2007-11-01
491357|201095|Prefeitura Municipal de João Pessoa|2007|11120431|IMPOSTO DE RENDA RETIDO NAS FONTES S/OS RENDIMENTOS DO TRABALHO|1|Lançamento de receita|3129400.34|2007-12-01
491358|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|2734.02|2007-01-01
491359|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|711882.63|2007-02-01
491360|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|469915.2|2007-03-01
491361|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|1076753.08|2007-04-01
491362|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|477021.5|2007-05-01
491363|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|561419.49|2007-06-01
491364|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|870139.99|2007-07-01
491365|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|457993.69|2007-08-01
491366|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|965720.23|2007-09-01
491367|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|430196.0|2007-10-01
491368|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|488881.63|2007-11-01
491369|201095|Prefeitura Municipal de João Pessoa|2007|17210999|DEMAIS TRANSFERENCIAS DA UNIAO|1|Lançamento de receita|556624.79|2007-12-01
491370|201095|Prefeitura Municipal de João Pessoa|2007|17220101|Cota-Parte do ICMS|1|Lançamento de receita|11523457.78|2007-01-01
491371|201095|Prefeitura Municipal de João Pessoa|2007|17220101|Cota-Parte do ICMS|1|Lançamento de receita|8461936.57|2007-02-01
491372|201095|Prefeitura Municipal de João Pessoa|2007|17220101|Cota-Parte do ICMS|1|Lançamento de receita|9989766.13|2007-03-01
491373|201095|Prefeitura Municipal de João Pessoa|2007|17220101|Cota-Parte do ICMS|1|Lançamento de receita|7210763.15|2007-04-01
491374|201095|Prefeitura Municipal de João Pessoa|2007|17220101|Cota-Parte do ICMS|1|Lançamento de receita|11493821.33|2007-05-01
491375|201095|Prefeitura Municipal de João Pessoa|2007|17220101|Cota-Parte do ICMS|1|Lançamento de receita|12653407.44|2007-06-01
491376|201095|Prefeitura Municipal de João Pessoa|2007|17220101|Cota-Parte do ICMS|1|Lançamento de receita|8292491.64|2007-07-01
